IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0097670,"$3,416,846",United States,J. Lee Thompson,"['Action', 'Crime', 'Drama']",A brutal Los Angeles police Lt. is determined to bust up an organization that forces underage girls into prostitution.,R,03 Feb 1989,97 min,Kinjite: Forbidden Subjects,1989,5.5,"4,020",5000000,0.8434,5.5,88
tt0097438,"$2,777,280",United States,Graeme Clifford,"['Action', 'Drama', 'Mystery']",A young avid skateboarder uncovers a conspiracy while investigating his adoptive brother's mysterious death.,PG-13,13 Jan 1989,105 min,Gleaming the Cube,1989,6.3,"9,293",10000000,0.831,6.0,135
tt0096945,"$2,692,037",United States,Phillip Noyce,"['Action', 'Comedy', 'Crime']","A blind Vietnam vet, trained as a swordfighter, comes to America and helps to rescue the son of a fellow soldier.",R,16 Mar 1990,86 min,Blind Fury,1989,6.3,"19,139",20000000,1.5782,6.5,468
tt0097334,"$2,420,917",United States,John Milius,"['Action', 'Adventure', 'Drama']","Borneo, 1942: An American soldier escapes WWII and becomes the king of the headhunters in the jungle. Two British soldiers are parachuted into the area to find local support for the battle against the Japanese.",PG-13,03 Mar 1989,117 min,Farewell to the King,1989,6.2,"3,195",16000000,0.3514,5.993,69
tt0096913,"$1,700,000",United States,Robert Radler,"['Action', 'Drama', 'Sport']",A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country - can they overcome their rivalry and work together to win?,PG-13,10 Nov 1989,97 min,Best of the Best,1989,6.4,"15,923",5000000,1.3708,6.439,309
tt0097758,"$793,775",United States,Richard Greenberg,"['Adventure', 'Comedy', 'Family']",A boy discovers an incredible and gruesome world of monsters under his bed.,PG,25 Aug 1989,100 min,Little Monsters,1989,6.0,"14,591",7000000,1.6773,5.9,201
tt0098503,"$792,966",United States,"Michael Herz, Lloyd Kaufman","['Action', 'Comedy', 'Horror']","The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation.",R,24 Feb 1989,102 min,The Toxic Avenger Part II,1989,5.0,"7,581",2500000,0.5703,5.5,174
tt0097662,"$283,694",United States,John Dahl,"['Action', 'Crime', 'Drama']",A young detective becomes involved with a beautiful woman on the run from the mob and her psychopath boyfriend.,R,27 Oct 1989,94 min,Kill Me Again,1989,6.3,"5,882",4000000,0.5445,6.0,113
tt0096926,"$117,463",United States,Christopher Guest,"['Comedy', 'Drama', 'Romance']","Film school grad Nick Chapman thought his career was made after his award winning short film, but discovered Hollywood wasn't as easy as it seems.",PG-13,30 Nov 1990,100 min,The Big Picture,1989,6.2,"6,342",5000000,0.6952,5.9,95
tt0096769,"$76,325",United States,"Jim Wheat, Ken Wheat","['Horror', 'Thriller']","A college class, Psychology of Fear, has a new teacher who believes that you have to feel fear to understand it. A group of students convene at the teacher's house, where scary stories are told.",R,03 Nov 1989,93 min,After Midnight,1989,5.4,"2,562",3000000,0.4675,5.6,52
tt0096978,"$67,878",United States,Robert Ellis Miller,"['Adventure', 'Comedy', 'Romance']","Comic book artist Mike Randall struggling with his ""Brenda Starr"" strip draws himself into it when disappointed Brenda leaves the strip and heads to the Amazon jungle to find a scientist whose secret formula will create cheap gaso...",PG,15 Apr 1992,93 min,Brenda Starr,1989,4.7,"1,286",16000000,0.4505,4.3,20
tt0096953,"$43,671",United States,Howard Brookner,"['Comedy', 'Drama', 'Romance']","Broadway was never brighter and never roared louder than New Year's Eve, 1928, when anything could happen-and did. A four part short story musical co-starring Madonna, Jennifer Grey, and Matt Dillon.",PG,03 Nov 1989,93 min,Bloodhounds of Broadway,1989,5.3,"1,477",4000000,0.53,5.7,23
tt0435761,"$415,004,880",United States,Lee Unkrich,"['Animation', 'Adventure', 'Comedy']","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",G,18 Jun 2010,103 min,Toy Story 3,2010,8.3,"925,644",200000000,11.2643,7.799,14879
tt1228705,"$312,433,331",United States,Jon Favreau,"['Action', 'Sci-Fi']","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",PG-13,07 May 2010,124 min,Iron Man 2,2010,6.9,"897,226",200000000,21.9552,6.845,21310
tt1325004,"$300,531,751",United States,David Slade,"['Action', 'Adventure', 'Drama']","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",PG-13,30 Jun 2010,124 min,The Twilight Saga: Eclipse,2010,5.1,"269,347",68000000,12.3624,6.202,8855
